Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tobias Harris,30,55,55,1850,338,677,0.499,100,261,0.383,238,416,0.572,0.573,77,90,0.856,52,268,320,140,55,30,69,110,853
2,Joel Embiid,28,47,47,1649,515,970,0.531,50,147,0.34,465,823,0.565,0.557,477,556,0.858,83,405,488,194,53,77,164,149,1557
3,De'Anthony Melton,24,56,47,1575,209,490,0.427,120,299,0.401,89,191,0.466,0.549,46,59,0.78,53,176,229,149,93,29,76,142,584
4,James Harden,33,43,43,1575,283,626,0.452,123,313,0.393,160,313,0.511,0.55,241,279,0.864,23,243,266,459,53,26,147,87,930
5,P.J. Tucker,37,57,57,1485,72,168,0.429,41,99,0.414,31,69,0.449,0.551,17,20,0.85,77,158,235,46,27,13,37,139,202
6,Tyrese Maxey,22,40,22,1307,280,621,0.451,89,234,0.38,191,387,0.494,0.523,126,155,0.813,17,95,112,143,33,5,56,85,775
7,Shake Milton,26,55,9,1148,186,376,0.495,41,107,0.383,145,269,0.539,0.549,76,89,0.854,27,118,145,160,18,9,72,87,489
8,Georges Niang,29,57,0,1118,171,386,0.443,120,297,0.404,51,89,0.573,0.598,28,32,0.875,17,122,139,64,23,11,41,107,490
9,Montrezl Harrell,29,50,7,624,112,185,0.605,0,2,0,112,183,0.612,0.605,59,85,0.694,60,78,138,31,16,25,31,74,283
10,Matisse Thybulle,25,49,6,591,50,116,0.431,21,63,0.333,29,53,0.547,0.522,9,12,0.75,20,43,63,23,45,14,8,65,130
11,Danuel House Jr.,29,37,2,546,55,120,0.458,24,72,0.333,31,48,0.646,0.558,28,40,0.7,8,57,65,25,8,7,16,44,162
12,Paul Reed,23,46,0,433,61,106,0.575,0,4,0,61,102,0.598,0.575,16,22,0.727,55,87,142,14,30,29,28,84,138
13,Furkan Korkmaz,25,25,0,255,32,78,0.41,12,35,0.343,20,43,0.465,0.487,19,29,0.655,6,23,29,18,6,3,15,10,95
14,Jalen McDaniels,25,5,0,86,10,20,0.5,2,4,0.5,8,16,0.5,0.55,2,5,0.4,5,13,18,5,2,0,0,9,24
15,Jaden Springer,20,7,0,26,7,12,0.583,0,0,,7,12,0.583,0.583,3,4,0.75,4,3,7,1,2,2,1,7,17
16,Saben Lee,23,2,0,10,3,4,0.75,0,1,0,3,3,1,0.75,0,0,,0,0,0,2,1,0,3,1,6
17,Julian Champagnie,21,2,0,7,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0
18,Michael Foster Jr.,20,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
19,Kevin Ross,,,,,,,,,,,,,,,5,5,1,,,,,,,,,
